0,0.006104,0.972656,0.143066,-1.312977,0.198473,6.015267,1444877934.223942,1,1
1,0.100098,0.982178,0.096924,-1.358779,0.412214,-0.702290,1444877934.253843,1,1
2,0.095703,0.976807,0.124023,-1.480916,-2.244275,3.114504,1444877934.313261,1,1
3,0.101318,0.982422,0.125977,0.412214,3.114504,2.534351,1444877934.316538,1,1
4,0.095459,0.979980,0.094971,0.320611,1.404580,-7.694656,1444877934.343980,1,1
5,0.096436,0.978760,0.134766,-3.679389,1.114504,8.977099,1444877934.373902,1,1
6,0.088867,0.986816,0.062256,-0.030534,0.366412,9.541985,1444877934.403930,1,1
7,0.089111,0.978271,0.144043,-0.809160,-1.435115,0.839695,1444877934.433695,1,1
8,0.092285,0.982910,0.101562,0.091603,0.519084,6.641222,1444877934.463853,1,1
9,0.096436,0.984131,0.108887,0.824427,-1.190840,-3.358779,1444877934.494186,1,1
10,0.130859,0.957275,-0.711670,-20.717558,-47.022900,31.083969,1444877934.524022,1,1
11,0.103271,1.021729,0.248291,-4.366412,-45.145039,3.236641,1444877934.553949,1,1
12,0.082520,1.024414,-0.168945,-4.183206,-67.984734,-4.809160,1444877934.584016,1,1
13,0.109131,1.018066,-0.173584,30.687023,-96.351143,-14.091603,1444877934.613976,1,1
14,0.163086,0.990234,-0.020020,-8.198473,-107.954201,-17.251909,1444877934.644088,1,1
15,0.163086,0.990234,-0.020020,-8.198473,-107.954201,-17.251909,1444877934.644088,1,1
16,0.177734,0.989258,-0.019043,-8.778625,-119.923668,-19.206106,1444877934.673994,1,1
17,0.220703,0.994385,-0.021484,-13.740458,-131.709930,-21.587786,1444877934.733835,1,1
18,0.240234,0.062256,0.045166,-13.251908,-138.916031,-15.343512,1444877934.764233,1,1
19,0.230469,0.973389,0.073975,-11.740458,-139.709930,-14.198473,1444877934.823252,1,1
20,0.226074,0.962402,0.106445,30.519083,-142.259537,-24.061069,1444877934.826582,1,1
21,0.236816,0.968018,0.105713,-9.786260,-140.198471,-24.931297,1444877934.853964,1,1
