0.249634,-0.234985,-0.105408,-5.572519,-0.183206,-3.068702,1444826380.133572
0.249573,-0.23468,-0.10614,1.801527,-3.19084,1.908397,1444826380.164219
0.249878,0.23584,-0.105774,3.175573,-0.839695,-0.793893,1444826380.193438
-0.01416,-0.235657,-0.106384,2.717557,-3.053435,0.305344,1444826380.223573
0.249756,-0.234924,-0.105286,0.396947,-5.40458,2.59542,1444826380.253686
-0.015991,-0.235046,-0.105042,7.160306,-1.740458,-0.717557,1444826380.283623
0.249634,-0.235413,-0.104919,4.335878,-3.114504,-0.977099,1444826380.313684
0.249023,-0.234497,-0.107239,5.206107,-6.961832,-0.473282,1444826380.343579
0.249756,-0.235901,-0.106445,-2.885496,0.183206,-1.633588,1444826380.373757
0.249512,-0.235413,-0.106262,-1.816794,3.40458,0.778626,1444826380.403656
0.249695,-0.234619,-0.107544,-4.396946,-1.282443,1.251908,1444826380.433576
-0.014099,-0.234619,-0.10553,-3.526718,-3.083969,2.931298,1444826380.463843
0.249146,-0.235657,-0.106323,4.91603,0.122137,-0.59542,1444826380.493802
-0.014404,-0.234924,-0.104614,4.061069,2.473282,1.40458,1444826380.523492
0.249573,-0.235352,-0.104553,4.59542,0.015267,1.801527,1444826380.553698
0.249634,0.235413,-0.106506,7.129771,5.465649,-1.572519,1444826380.612831
0.24939,-0.235229,-0.106018,7.770992,-4.229008,0.59542,1444826380.616144
-0.015747,-0.234863,-0.106018,4.396946,-1.251908,4.885496,1444826380.643609
0.249023,-0.235229,-0.105652,1.755725,-4.167939,3.51145,1444826380.673648
0.249329,-0.235229,-0.107361,-0.183206,-0.091603,3.709924,1444826380.703530
0.249329,-0.234619,-0.105225,31.221375,-3.083969,1.236641,1444826380.733674
-0.015686,-0.234802,-0.10614,-7.145038,1.801527,8.351145,1444826380.763641
0.249573,-0.235229,-0.104309,-3.343511,0.076336,11.496183,1444826380.793532
0.249695,-0.235474,-0.106995,-6.076336,-1.236641,-1.618321,1444826380.823581
0.249268,-0.23468,-0.104248,0.48855,0.80916,2.824427,1444826380.883562
-0.013916,-0.23584,-0.106628,0.167939,-4.412214,1.267176,1444826380.913559
-0.014465,0.235352,-0.104919,1.770992,31.068703,0.091603,1444826380.944307
0.249878,-0.234802,-0.106445,-2.946565,-6.549618,2.412214,1444826380.973551
0.249207,-0.235413,-0.106628,3.801527,-0.748092,1.129771,1444826381.003627
-0.01593,-0.236328,-0.106079,-1.083969,3.221374,8.183207,1444826381.033805
-0.014526,-0.234863,-0.106812,-3.938931,-2.80916,13.267176,1444826381.064047
0.249512,-0.234802,-0.106567,-5.19084,-6.763359,13.19084,1444826381.123032
0.249329,-0.234985,-0.106689,-2.549618,4.778626,12.885496,1444826381.127392
